doc_id,text,approach,domain,evidence_type,source_type,source_title,source_file,paragraph_index
excerpt_10,"In one study adults performed two tasks: tangram puzzles (in which several smaller shapes must be combined to make a larger one; the puzzles used in this study were actually unsolvable) and proofreading a paper, both in a room where a buzzer repeatedly made a loud noise (Glass & Singer, 1972). Half of the subjects were told they could terminate the noise at anytime with a switch, but they were discouraged from doing so and few people actually used the switch, whereas others were simply subjected to the loud noise, with no suggestion that they could control it. Even though they had not opted to control the noise, those who believed themselves able to control it noticed significantly more errors on the proofreading task and were significantly more persistent in their attempts to solve the tangram puzzles. Although both groups were trying to work under the same noisy conditions, the group that believed it had control over those conditions performed better on tasks requiring careful attention and persistence.",Montessori,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_11,"Another study reported similar effects in adults for solving anagrams, in which letters are unscrambled to make words. In this case the anagrams were patterned, so the rearrangement of letters was the same (by placement) for each anagram (Hiroto & Seligman, 1975). One might learn to detect this arrangement in the first few anagrams and thus solve later ones very quickly. The manipulation of interest was a pretreatment of uncontrollable noise, as opposed to controllable noise. After a period in which they heard noise which they believed they could escape, participants were subsequently significantly more likely to discover the pattern in the anagrams. When participants thought the noise was inescapable, they were much less likely to subsequently discover the pattern. Later learning was thus influenced by a prior provision of choice.",Montessori,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_12,"In one experiment, 7 to 9 year olds were asked to solve anagrams, and one group was allowed to choose from among six categories of anagrams, such as animals, foods, or parties (Iyengar & Lepper, 1999). A second group was told the experimenter had chosen their categories, and a third was told their mothers had made the choice. Categories were in fact yoked, so all the children had the free choice group’s anagrams. There were two significant findings of interest here. First, the children who had chosen their own category solved twice as many anagrams as children who thought their mothers or the experimenter had chosen their category. Second, during an optional free-play period after the initial anagram task, the children who had chosen their own category spent much more time freely choosing to solve anagrams than did children whose category had been chosen for them.",Montessori,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_13,"First to third-graders were presented a drawing game, either as a choice or as an assignment (Swann & Pittman, 1977). Children were brought individually into a room where several activities, including the drawing game, were available. Children in the choice group were told they could do whatever they liked, but it was strongly suggested that they start with the drawing game. Children in the no-choice group were told that the experimenter used to let children choose, but not any more, and that they should start with the drawing game. Whereas 80% of the children in the choice condition chose the drawing activity first, only 20% of the children in the control group did so. Furthermore, children in the choice group drew for an average of five minutes, whereas children in the no-choice group drew for an average of one and a half minutes.",Montessori,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_14,"The longer children spend in traditional school environments, the more external their locus of control in those environments becomes (Harter, 1981), but children who buck that trend and manage to retain an intrinsic locus of control do better. This is supported by the work of Carol Dweck (1999) on mastery versus performance orientations, which will be discussed particularly in chapters 5 and 8.",Traditional,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_15,"Preschoolers were grouped into choice and no-choice groups and asked to make collages (Amabile & Gitomer, 1984). Those in the choice group were given a choice of collage materials, and those in the no-choice group were yoked, so each no-choice child was given the same collage materials as a choice child had freely chosen. A group of artists blind to the children’s condition then judged each collage for its creativity. They rated the collages of children who had been given a choice of materials as more creative than the collages of children given no choice but using the very same materials.",Montessori,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_16,Freedom comes with a responsibility to be constructive for oneself and society,Montessori,Behavioral/Social,Example,excerpt,Education for Children,excerpt_dataset,
excerpt_17,"In contrast, in traditional classrooms hands-on materials are often stored in a cupboard where they cannot be seen or easily taken out to use. The teacher controls when the materials are used.",Traditional,Environment,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_18,"In traditional schools of the day, small children sat on benches that were too high, so their legs dangled. Furthermore, the furniture was usually bolted to the ground. Making movable furniture the proper size for children, rather than having children sit in adult-sized furniture, was apparently a Montessori innovation (Elkind, 1976).",Traditional,Environment,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_19,"Montessori materials facilitate children’s making choices because the materials are exposed on shelves in the classroom, or on tables and rugs when other children are using them. Because Montessori work is done with hands-on materials spread out on tables or rugs, children can walk around the classroom and see what will be available to use when the child currently using a material puts it away. ",Montessori,Environment,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_20,"Another feature facilitating choice is that the materials are within a child’s reach. The shelves in a Montessori classroom are all low, and normally only as deep as a child’s arm could easily reach. It is easy for a child to take a material off a shelf, use it for a time, then put it away",Montessori,Environment,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_21,A cluttered and busy environment might distract attention from one element to another.,Traditional,Environment,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_22,"The furniture (usually shelves, tables, and chairs) is generally made of smooth wood. Teachers often play soothing classical music.",Montessori,Environment,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_23,"Wood and glass are the materials of choice for most of the Montessori apparatus. Of course plastic was not available when Dr. Montessori designed the materials, but Montessorians today often shun plastic as less aesthetically pleasing than natural materials. The fact that the wooden materials feel good to touch is intended to make the materials more interesting, to inspire activity.",Montessori,Environment,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_24,"The Geometric Solids (see Figure 4.1) are another particularly good example of a simple yet engrossing material. The Solids are slightly heavy (made of a dense wood), painted a shiny cobalt blue, and smooth to the touch. Standing about four inches tall, the shapes include a cylinder, a sphere, a rectangular pyramid, a triangular-based pyramid, an ovoid, and an ellipsoid. The Solids are lovely to hold and feel and look at, and adults and children alike seem to enjoy handling them. Perhaps because the objects have such a pleasant feel, preschoolers spend a long time investigating these objects, repeating their names and feeling their shapes, and via that exercise, they learn which shape is which. But more importantly, preschoolers learn via such exercises to focus their attention on something of interest.",Montessori,Academic,Material,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_25,"In contrast, the manipulatives one might see in traditional schools often appear to have passed only the test of adult convenience. One school I observed recently used cut-up pieces of drinking straws for manipulatives for counting. The pieces were very light and rolled across the table, but also seemed to distract rather \ than enhance interest: children were inspired to blow through them. This would presumably interfere with children’s using them for their intended purpose. ",Traditional,Cognitive,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_26,"Traditional elementary school classrooms often feature an alphabet strip with pictures illustrating each letter of the alphabet. One I recently saw in all of a school’s first- to fourth-grade classrooms used a cartoon of a chest X-ray to symbolize ""X,"" which surely few if any young children would recognize. Likewise, a cartoon of a windmill, certainly not a common feature in today’s American landscape, was used to represent ""W."" A cat was illustrating ""C""; while the object is clearly recognizable, a phonetic mismatch (it should be ""Kat"") does not seem like a wise place to begin learning what letters symbolize. (Montessori uses phonetic names for the letters, so ""cat"" is spelled ""c"" ""a"" ""t."") Perhaps such visual materials are interesting to children, but they also might be confusing",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_27,"Computers are increasingly a ""material"" in traditional school environments, and clearly they are very engrossing. One issue that arises is whether the type of engagement children have with computers (and television) is of the right sort for helping development. If learning to regulate one’s attention is important to development, and the research discussed at the end of chapter 3 implies it very much is, then materials that use bells and whistles above and beyond what one normally encounters in life might do them a disservice. Television and computer programs frequently regulate children’s attention for them because they are multisensory and fast paced and present sequences of images that are not possible in the real world. Successful attention-training programs are frequently done with computer programs, but these programs are often simpler than the programs used to attract children’s attention (e.g., Klingberg et al., 2002).",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_28,"The Color Tablets are paired by colors (see Figure 4.2) initially, and then later arranged by shades of the same color, from lightest to darkest. They bring on observations by the child of variations in color and then in shades of color in the world. ",Montessori,Academic,Material,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_29,The Sound Cylinders (see Figure 4.3) isolate various sounds and thus sensitize children to sounds in the world.,Montessori,Academic,Material,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_30,"Montessori education, in contrast, is designed to provide meaningful contexts. To some degree this involves actually going out of the classroom  and into the world to learn, which is formalized in the Elementary Going Out and adolescent Erdkinder programs. ",Montessori,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_31,"Amber Hill, the traditional school, continued with this math program during the three years of the study, supplementing it with textbooks. … Teachers stood at the chalkboard and provided lecture and examples for the first half of each class, then set the children to work alone on several problems. … Lessons were tightly structured and taught as self-contained units. … The school strongly emphasized preparation for national tests.",Traditional,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_32,"In contrast, teaching at the other school, called Phoenix Park, was project based. The teacher set out a problem for the children to solve … Children could work individually or in groups … Teachers assessed work with comments but not grades … Mass testing encourages factory-style learning, in which every child learns the same information. The reduced emphasis on extrinsic reasons for learning prior to eleventh grade at Phoenix Park might also have increased children’s sense of meaning about the work.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_33,"Transfer from school to world (and back) is probably facilitated by the frequency with which Montessori children leave the classroom to study in the world, as was described in chapter 2. … A small group of children studying weather might make arrangements to visit a weather forecasting center, where the application of the knowledge is obvious.",Montessori,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_34,"When children have to calculate how much money they will need for a Going Out trip involving a bus ride, museum tickets, and lunch, the application of mathematics to real life problems is obvious. When they have to call a parent and politely request the parent take them on a Going Out trip, the importance of Grace and Courtesy becomes clear.",Montessori,Cognitive/Social,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_35,"The Elementary Going Out program removes the usual walls that exist between school and the outside world. Unlike a traditional school field trip, Going Out trips emerge from the children’s current personal interests. … ""A child enclosed within limits however vast [like the walls of the school] remains incapable of realizing his full value and will not succeed in adapting himself to the outer world. For [the child] to progress rapidly, his practical and social lives must be intimately blended with his cultural environment"" (Montessori, 1948/1976, p. 26).",Montessori,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_36,"The transfer of learning from Montessori class to the world is also exemplified in the culmination of Montessori schooling, the adolescent program Dr. Montessori called the Erdkinder (‘the land children’). … Adolescence, she wrote, is characterized by ‘a state of expectation, a tendency toward creative work and a need for the strengthening of self-confidence’ (1948/1976, p. 101). To assist with this confidence, she believed adolescents needed to be in a situation where they could begin to ‘earn money by their own work’ (p. 103). … An ideal environment would be a farm that children would run, applying the knowledge they had learned in prior years — building barns, growing vegetables, breeding pigs, selling eggs, and running a hotel or store. … In all these endeavors, they would apply their school learning to real-world contexts as part of their continuing education.",Montessori,Cognitive/Social,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_37,"In terms of physical order, Traditional classrooms vary widely according to the teacher. Informal observation indicates that the majority of Traditional school classrooms are orderly in the center (desks in rows or clusters at elementary, and activity centers in preschool) but often disorderly on the periphery. The walls are often full of posters, drawings, and charts that in many classrooms appear to be placed haphazardly wherever there was room. Extra materials and equipment are piled in corners or on shelves.",Traditional,Environment,Example,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_38,"""orderly environment is associated with better functioning, and that less organized homes are linked to a range of negative outcomes, from poorer cognitive competence, to less adequate language, to more difficult temperaments, to lower mastery motivation, to more accidental injuries"" (see Wachs, 2000)/""Yet research suggests that in homes, a higher density of people often brings chaos"" (Wachs et al., 1971) ""A study of working-class middle school children in India showed a wide range of negative associations with chronic residential crowding, such as poor academic achievement, poor behavioral adjustment at school, learned helplessness, high blood pressure, and poorer parentchild relations"" (Evans, Lepore, Shejwal, & Palsane, 1998)  whereas those presented with randomly arranged words recalled 21 of 112 words. ",Montessori,Cognitive/Environment,Study,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_39,"""Indeed, many Montessori materials are the colors that experimental studies show both 4-month-old infants and adults find most pleasing and attractive: red and blue"" (Bornstein, 1975)",Montessori,Environment,Study/Material,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_40,"The brooms might have tiny butterflies painted on their handles, and the Button Frame might have beautiful silver buttons. In addition to having aesthetically tasteful materials, the classroom was to have ""pleasing, artistic pictures, which are changed from time to time as circumstances direct,"" showing ""children, families, landscapes, flowers and fruit, and . . . historical incidents"" (Montessori, 1914/1965, p. 40). Ornamental plants were also specified among the furnishings, including each child possibly having a plant to tend. These items were to be placed about in an orderly, uncluttered fashion.",Montessori,Environment,Material,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_41,"Another feature of the Montessori space is that there is a good deal of open floor space in a Montessori classroom. Dr. Montessori suggested that about half the floor space be open for children to work on the floor, and to allow free movement. She also suggested that Montessori classrooms need to be larger than Traditional ones, to allow for this degree of movement. Increased size, of course, reduces crowding. (Since Montessori schools do not need special rooms for art, music, and other extracurricular activities that normally have a special room in Traditional schools, their overall size is not necessarily larger than that of schools serving comparable numbers of students.)",Montessori,Environment,Study,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_42,"Montessori environments are also orderly in the aural sense. Primary classrooms are particularly quiet, with perhaps some classical music playing and a little bit of quiet chatter. Dr. Montessori describes her classrooms as having an ""atmosphere of quiet activity"" and ""peaceful surroundings"" (1914/1965, p. 59). As was stated earlier, this can put people off; we are conditioned to think classrooms of 3- to 6-year-olds should be noisy and somewhat chaotic",Montessori,Academic/Environment,Example,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_43,"Traditional schooling is tightly ordered in elementary school, but usually not in preschool.",Traditional,Environment,Example,excerpt,Education for Children,excerpt_dataset,
excerpt_44,"Montessori is ordered spatially, and education FOR children 327 temporally at the level of the microroutine. However, at the macro level, the daily schedule is open for the child to arrange as he or she goes. The child is at liberty to choose to work on what interests him or her. In this way Montessori education allows for a blend of order and free choice, giving the child structured routines but the freedom to decide what routine to enact when. The research suggests this combination may be most optimal. When the routines are not specified, children might well not learn much yet when the day’s schedule is set, children’s sense of control is compromised. The orderly education of the senses in Montessori is also notable, as it could conceivably have significant impact on perceptual capacities, with potential implications extending up the cognitive system.",Montessori,Environment,Example/Study,excerpt,Education for Children,excerpt_dataset,
excerpt_45,"In traditional schooling, therefore, as children get older, each topic even has its own teacher and is taught in its own classroom. At the beginning of each school year, children review what they learned in the prior grade, then proceed to the information they are supposed to learn in the current grade.",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_46,"In fact, a recent survey of mathematics teachers in the United States showed that only about 23% think teachers should integrate across subjects even within mathematics, such as algebra and probability (Weiss, 1995, April).",Traditional,Academic,Study,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_47,"According to Thorndike, ""Improvement in any single mental function rarely brings about equal improvement in any other function, no matter how similar, for the working of every mental function-group is conditioned by the nature of the data in each particular case"" (Thorndike & Woodworth, 1901/1962, p. 51).",Traditional,Cognitive,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_48,"The stories are grand and impressionistic, designed to give children a framework for many of the lessons children will engage in over the year. This framework approach is consistent with psychology research. For example, people who look over outlines prior to reading material understand material better than people who dive right in (Anderson, 1990). Having a framework assists the assimilation of information.",Montessori,Cognitive,Study,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_49,"This Elementary lesson provides another example of how Montessori lessons stimulate topic interest, and how Montessori integrates knowledge across different areas of the curriculum. After children have been given a few lessons on angles, using sets of manipulatives to create angles of different sizes, the teacher tells a small group of children who are at the same level in learning about angles a story about how the Nile River often flooded early in the year, washing away people’s property lines. There were people called the Rope Stretchers whose job was to create the property lines again, work so important it was supervised by the pharaoh himself. Children are told that the word ""geometry"" comes from Gaia, or earth, and metric, or measure, because these people were measuring the earth. Besides assisting children with vocabulary, reviewing the word’s roots helps children to see that geometry has practical origins.",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_50,"Also linking to the concrete, the teacher gives the children a long string with a series of evenly spaced small and large knots. Each child holds a different part of the string, and the children become, in effect, the Rope Stretchers: they see how the string can be stretched to make different angles. The sides of the ropes, when stretched into a scalene (right-angle) triangle, are 3x, 4x, and 5x. As the story goes, Pythagoras was visiting Egypt and saw the Rope Stretchers at work and learned there the principles of the famous theorem that bears his name. The idea of angles is thus tied to a piece of history and geography, and it is a hands-on activity involving one’s classmates and imaginary tracts of land that must be divided up, all of which appears to stimulate interest and inspire them to learn not only about geometry, but also the Egyptians, the Nile, Egyptian numerals and their derivation, history, and so on.",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_51,"Psychology research supports the idea that interest stems from having some knowledge, but not too much, about something already (Berlyne, 1960; Tobias, 1994).",Montessori,Academic,Study,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_52,"One classic example of this is presented in chapter 7: if one reads an ambiguous passage with no idea of what it is about, one will not remember the passage nearly as well as someone who reads the ambiguous passage with some prior knowledge of what it was about (Bransford & Johnson, 1972). ",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_53,"Reflecting connections to prior knowledge across the years, for example, in Primary classrooms, 2- to 6-year-old children learn nomenclature for different parts of plants. Later, in Elementary, as 6- to 9-year-olds, children will go back to those parts and learn the functions they serve. An appreciation of diversity is fostered through this study in Elementary as children learn about the different functions served by different parts of the plant. For example, the function of the leaf is to make food for the plant, and to do so it requires water and light. Different plants have evolved to capture light inmyriad ways, resulting in a vast diversity of leaves. The awareness of diversity that comes from this lesson then extends to all forms of life.",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_54,"For example, different teachers make up their own lessons for different parts of the curricula; different texts from different publishers convey different topics; school systems change textbook series frequently; and so on.",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_55,"Traditional school systems also normally begin with and build from age 6, not age 3. If the years up to age 6 are sensitive periods for rapid acquisition of vocabulary, which Dr. Montessori claimed and which is consistent with language research (Carey & Bartlett, 1978; Dollaghan, 1985), age 6 may be too late to have children easily and enthusiastically learn the foundational vocabulary on which much of the additional knowledge is built (but see Markson & Bloom, 1997).",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_56,"As another example of interconnections, in Primary, children learn about different geological formations, such as capes and bays, and in Elementary, they study particular capes and bays around the world. These lessons are in turn connected to people and diversity, as the children confront how people live differently if they live near a bay, in a valley, or in a mountainous area. Their food, shelter, and clothing also differ depending on how they live.",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_57,"The Binomial Cube was presented earlier. This is considered a Sensorial Material in Primary, but reappears as a Math Material in Elementary, with its associated mathematical formula. The Trinomial Cube and a series of further cubes are also presented in Elementary, building on the old knowledge with very similar materials. Thus, new concepts are introduced with old materials across classrooms, creating interest by linking new information to the old.",Montessori,Academic,Material,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_58,"Within classrooms as well, younger children observe the activities of older children, familiarizing them with activities they will later learn. For example, 3-year-olds observe 4-year-olds making words with the Movable Alphabet (see Figure 4.4): the older child takes each letter out of the box, utters the phonetic sound, and places it on a rug until he or she has made a whole word. By watching, the 3-year-old can learn the process and even some of the content of the activity he or she will later do. Learning a little about an activity by watching lends familiarity to that activity, which should then engender more interest in learning it. In addition, of course, there is a motivating element in that older children do that activity. When the teacher shows a child how to do the Movable Alphabet, the child has the sense that she has advanced to doing what the older children do, and that is likely to make it all the more interesting. ",Montessori,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_59,"Traditional schooling cannot capitalize on this, because there is only one age level per class. Even were more than one grade level included in a traditional classroom (as one sometimes sees), learning occurs mostly in books, unavailable for observation by other children.",Traditional,Academic,Example,excerpt,Interest in Human Learning,excerpt_dataset,
excerpt_60,"Traditional schooling is separated from other life contexts in at least two ways. First, it is physically separated, usually occurring in a special building. This makes good sense for a factory: special structures best serve the goal of turning out finished goods. Physically separating the learning context from the context of use can be desirable: clients would normally prefer their accountants learn the tax code in a classroom rather than in an appointment (Anderson, Reder, & Simon, 1996)",Traditional,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_61,"Some have argued, however, that the divide between school and contexts of use has a negative impact on learning, and that learners are better served when learning is situated in the context in which it will be used (e.g., Lave & Wenger, 1991)",Traditional,Academic/Cognitive,Example,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_62,"The procedure is actually quite simple. First you arrange items into different groups… Eventually they will be used once more and the whole cycle will have to be repeated. However, that is part of life."" (Bransford & Johnson, 1972, p. 720) ... However, some participants were given the context of the paragraph, in the simple form of a title: ""Washing Clothes."" These participants were much better at recalling the passage, showing that having a structural context strongly affected memory",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_63,"The procedure is actually quite simple. First you arrange items into different groups… Eventually they will be used once more and the whole cycle will have to be repeated. However, that is part of life."" (Bransford & Johnson, 1972, p. 720) After reading such a passage, study participants were asked to recall what they had read verbatim. Not surprisingly, they were not very good at doing so, because the passage simply does not make sense when no context is supplied. ...  When new information is taught in traditional schools, it is too often taught in an abstract manner with no obvious connection to one’s knowledge of the real world--in a sense, the equivalent of learning the ""washing clothes"" paragraph without the title.",Traditional,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_64,"In one study, students were given materials with which to learn about probability, with examples embedded in either an abstract context, an educational context, or a medical context (Ross, 1983) ... Students were tested on items with all variations on context (abstract, education, and nursing). In both experiments, students in the meaningful contextual conditions ... performed better on the probability problems than did students in the abstract condition, and the best performance was achieved when the training examples were embedded in personally relevant contexts--those pertaining to the profession for which each student was studying.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_65,"Mark Lepper and his students have done several studies with school-aged children that make the same point. In one study, they taught 10-year-olds the basic elements of the LOGO graphics program language (Papert, 1980; Parker & Lepper, 1992). A control group was taught in an abstract form, whereas experimental groups were given a choice of meaningful contexts in which to complete the same task. In the abstract form, a child had to navigate the cursor between and touch five circles. In the meaningful context conditions, the child’s task was structurally the same, but the circles were described as islands with treasure that must be collected, or as planets that a spaceship had to land on ... Immediately after training, children in the contextualized conditions had learned the programming language better; they also reported having liked the exercise more than children in the control group. Two weeks later, children who had learned the program with a contextual description performed better on a geometry test of the underlying concepts and skills, such as estimation of angles and distances. They also showed better mastery of an important life skill embedded in computer programming: following a series of steps in executing a plan.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_66,"When one is already familiar with something, it has meaning. Even mere familiarity with the tasks or objects one is learning about assists performance on cognitive tasks. In one classic demonstration of this, the researcher Helen Borke (1975) gave children Piaget’s famous three-mountains task … Children typically do not do well on this task until around age 8; prior to then, they often indicate that from every vantage point the doll will see whatever they themselves currently see.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_67,"... the familiarity effect has also been demonstrated in Papua, New Guinea (Lancy & Strathern, 1981). There, village children were given sets of standard cognitive tests involving memory and classification. When the objects involved in those tests were familiar everyday items, such as shells frequently encountered in their daily life, children were better at solving class-inclusion problems, recalling items, and using optimal memory strategies (such as clustering items in recall) than when novel Western toys were used.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_68,"As discussed in chapter 4, numerous studies have shown that having expertise in a domain is associated with different kinds of thinking about that domain. For example, if chess pieces are arranged in a way that reflects their possible placement in a real game of chess, then chess experts (both child and adult) recall the placement of pieces much better than do novice players. However, if the chess pieces are randomly placed on the board and do not reflect the organization of a real game, then chess experts are no better at recalling their placement than are chess novices (Chase & Simon, 1988). Expertise apparently confers knowledge structures that influence memory, but only when the information supplied conforms to those structures.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_69,"Just as what is interesting to adults is not always the same as what is interesting to children, what adults think is familiar is not always familiar to children (Bjorklund & Thompson, 1983). In a study showing that it is children’s, not adults’, familiar concepts that are associated with better learning, researchers had children and adults rate clothing and fruit items for how good an example each was of its category. … Children recalled significantly more items from the children’s lists of good exemplars than from the adults’ lists. … The authors stated, ‘Children often demonstrate enhanced levels of recall when memory is assessed in tasks using materials that are meaningful and well known to them, in comparison to when more traditional materials (i.e., items which are more familiar to adults) are used’ (p. 341).",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
excerpt_70,"In a study of low-IQ horse-racing aficionados (Ceci & Liker, 1986) … some were judged as being more expert, as determined by their skill at computing odds. These experts also appeared to reason about racing at a higher level than the nonexperts. … They used a complex multiplicative model, whereas those with less expertise used a simpler additive model. Expertise as determined by one aspect of a domain thus resulted in a different and more complex way of using information in another aspect, even when IQ levels were the same.",Montessori,Academic/Cognitive,Study,excerpt,Meaningful Contexts for Learning,excerpt_dataset,
